dataset,seed,model,rmse,fit_time,n_rounds
523_analcatdata_neavote,1,split_boost_blend_off,1.0463400362725546,0.22657990455627441,115
523_analcatdata_neavote,1,split_boost_blend_on,1.045494418205093,0.22492146492004395,115
523_analcatdata_neavote,1,lightgbm,1.0406932815404664,0.18320846557617188,0
523_analcatdata_neavote,1,xgboost,2.22081430199804,0.12309813499450684,0
523_analcatdata_neavote,2,split_boost_blend_off,0.8452047204324245,0.10503458976745605,51
523_analcatdata_neavote,2,split_boost_blend_on,0.8702886114418854,0.10343170166015625,51
523_analcatdata_neavote,2,lightgbm,0.8304391298325919,0.1700282096862793,0
523_analcatdata_neavote,2,xgboost,2.131466986818319,0.12064361572265625,0
557_analcatdata_apnea1,0,split_boost_blend_off,1279.2838354263724,5.760434627532959,147
557_analcatdata_apnea1,0,split_boost_blend_on,1329.2695490253907,6.581974029541016,168
557_analcatdata_apnea1,0,lightgbm,1375.5553008834304,0.2229926586151123,0
557_analcatdata_apnea1,0,xgboost,1137.8163504544639,0.2111806869506836,0
557_analcatdata_apnea1,1,split_boost_blend_off,917.0286131037875,3.204869508743286,82
557_analcatdata_apnea1,1,split_boost_blend_on,874.3576126033253,2.751279354095459,71
557_analcatdata_apnea1,1,lightgbm,1028.0661485130297,0.23195290565490723,0
557_analcatdata_apnea1,1,xgboost,874.7259138465122,0.15915632247924805,0
557_analcatdata_apnea1,2,split_boost_blend_off,1671.0013577639993,3.3039071559906006,81
557_analcatdata_apnea1,2,split_boost_blend_on,1624.6805624771553,4.055039405822754,102
557_analcatdata_apnea1,2,lightgbm,1728.9515717284667,0.22500038146972656,0
557_analcatdata_apnea1,2,xgboost,1358.6742417938733,0.19940948486328125,0
529_pollen,0,split_boost_blend_off,1.571010787026656,7.863842487335205,86
529_pollen,0,split_boost_blend_on,1.6145788400040206,7.867678880691528,87
529_pollen,0,lightgbm,1.5999685136298818,0.2970311641693115,0
529_pollen,0,xgboost,1.611287235328607,0.20856618881225586,0
529_pollen,1,split_boost_blend_off,4.120350579858869,8.052682161331177,84
529_pollen,1,split_boost_blend_on,1.538527806386912,6.4651405811309814,55
529_pollen,1,lightgbm,1.5489127589056824,0.29404401779174805,0
529_pollen,1,xgboost,1.56211139743587,0.27015233039855957,0
529_pollen,2,split_boost_blend_off,1.5315481030945173,7.1054604053497314,68
529_pollen,2,split_boost_blend_on,1.6880166528846403,5.30958890914917,35
529_pollen,2,lightgbm,1.5516129063082351,0.31119775772094727,0
529_pollen,2,xgboost,1.5626338807193612,0.27449965476989746,0
562_cpu_small,0,split_boost_blend_off,2.6863531913712726,16.11458659172058,158
562_cpu_small,0,split_boost_blend_on,151214.43520459492,16.078673601150513,154
562_cpu_small,0,lightgbm,3.0736362439021496,0.345043420791626,0
562_cpu_small,0,xgboost,3.087876827954788,0.23034977912902832,0
562_cpu_small,1,split_boost_blend_off,127492.49412828991,17.097110748291016,160
562_cpu_small,1,split_boost_blend_on,33875.48202594979,18.372993230819702,173
562_cpu_small,1,lightgbm,3.118791789274139,0.35410213470458984,0
562_cpu_small,1,xgboost,3.1229050461214536,0.3021376132965088,0
562_cpu_small,2,split_boost_blend_off,2.5650292637679044,17.05423927307129,166
562_cpu_small,2,split_boost_blend_on,722.0942429831312,4.243245363235474,27
562_cpu_small,2,lightgbm,2.6838117435844375,0.333118200302124,0
562_cpu_small,2,xgboost,2.5557369764684954,0.2645573616027832,0
564_fried,0,split_boost_blend_off,1.0763473334779832,33.78067135810852,154
564_fried,0,split_boost_blend_on,19.232954521640867,37.83270573616028,170
564_fried,0,lightgbm,1.0717003977982351,0.48543572425842285,0
564_fried,0,xgboost,1.0767128856148442,0.2554490566253662,0
564_fried,1,split_boost_blend_off,1.0650206919037213,29.833637714385986,136
564_fried,1,split_boost_blend_on,13300.4795767851,30.93312406539917,130
564_fried,1,lightgbm,1.0693457004361584,0.48105955123901367,0
564_fried,1,xgboost,1.07036349195117,0.3066294193267822,0
564_fried,2,split_boost_blend_off,1.0716654902743739,33.273560762405396,153
564_fried,2,split_boost_blend_on,1.0724484497180973,19.552958011627197,67
564_fried,2,lightgbm,1.0635471562141539,0.47533249855041504,0
564_fried,2,xgboost,1.065471274528147,0.2995567321777344,0
